ID,WT,N_mass,N_perc,d15N,C_mass,C_perc,d13C,C:N
UR701,2.34,60.58169225,2.588961207,7.782504546,1509.499635,64.50853141,-33.237019,24.91676245
UR705,2.78,39.67523055,1.427166567,5.839036087,1368.76181,49.23603635,-32.87896236,34.49915203
UR709,3.2,49.23732215,1.538666317,8.440331503,1344.22788,42.00712125,-33.40354171,27.30099488
UR700,3.19,54.97377789,1.723315921,5.416612612,1276.967591,40.03033201,-32.08255027,23.2286672
UR695,3.26,78.81577441,2.417661792,6.938158706,1127.571431,34.58808069,-32.04221847,14.30641821
UR694,3.64,31.73807277,0.871925076,8.173961481,989.5012311,27.18409975,-32.06422305,31.17710512
UR690,2.84,57.07315124,2.009618001,8.772001318,1101.941177,38.80074567,-31.61070407,19.30752294
UR689,3.81,103.3144681,2.71166583,-1.668631635,1125.643844,29.54445785,-29.92535496,10.89531664
UR684,3,84.42069562,2.814023187,-1.548690139,1067.959224,35.5986408,-29.73519744,12.65044331
UR683,2.58,95.50333651,3.70167971,-1.60347862,966.9214747,37.47757654,-29.21993645,10.12447847
UR682,2.63,87.75224052,3.336587092,-1.496553898,1005.971922,38.24988296,-30.23813787,11.46377478
PL694,2.41,70.36938749,2.919891597,-1.470102044,1149.056831,47.67870666,-29.84663422,16.3289304
PL690,3.06,76.17052528,2.489232852,-1.671355231,933.1995629,30.49671774,-29.23999137,12.25145238
PL667,2.93,40.11399112,1.369078195,-1.33959979,938.9652305,32.0465949,-28.84660337,23.4074248
PL665,3.39,92.74071943,2.735714437,-1.776028433,1020.478875,30.1026217,-29.79270961,11.00356868
PL664,3.1,56.34737238,1.817657174,-0.866372641,806.8402992,26.02710643,-29.36411833,14.31904036
PL663,2.81,107.0076919,3.808102913,-1.811232331,1042.943736,37.11543546,-29.5627915,9.746437086
